_id,Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
1755,2021,S08000025,"",under75 years,"",Males,"",Cerebrovascular Disease,,c,,c,15.609390609390609
1756,2021,S08000025,"",under75 years,"",Females,"",Cerebrovascular Disease,,c,,c,15.480156893100474
1757,2021,S08000026,"",under75 years,"",Males,"",Cerebrovascular Disease,,c,,c,26.86487866421769
1758,2021,S08000026,"",under75 years,"",Females,"",Cerebrovascular Disease,,c,,c,17.243811822984433
1759,2021,S08000028,"",under75 years,"",Males,"",Cerebrovascular Disease,,c,,c,13.101218412204974
1760,2021,S08000028,"",under75 years,"",Females,"",Cerebrovascular Disease,,c,,c,23.68321333838575
1761,2021,S08000029,"",under75 years,"",Males,"",Cerebrovascular Disease,34,"",20.3712358150292,"",19.173715603216568
1762,2021,S08000029,"",under75 years,"",Females,"",Cerebrovascular Disease,37,"",21.4563652917196,"",18.794842240709254
1763,2021,S08000030,"",under75 years,"",Males,"",Cerebrovascular Disease,35,"",18.8736222255775,"",17.61949694118079
1764,2021,S08000030,"",under75 years,"",Females,"",Cerebrovascular Disease,28,"",14.7642725695635,"",12.866472787830984
1765,2021,S08000031,"",under75 years,"",Males,"",Cerebrovascular Disease,112,"",20.6701941337251,"",23.60008144506132
1766,2021,S08000031,"",under75 years,"",Females,"",Cerebrovascular Disease,95,"",17.1492526536212,"",17.983276167269253
1767,2021,S08000032,"",under75 years,"",Males,"",Cerebrovascular Disease,69,"",23.0291702823577,"",22.868938108002705
1768,2021,S08000032,"",under75 years,"",Females,"",Cerebrovascular Disease,52,"",16.736724880429,"",15.640332381478393
1769,2021,S92000003,d,under75 years,"",Males,"",Cerebrovascular Disease,496,"",20.0616247812838,"",19.85331221701729
1770,2021,S92000003,d,under75 years,"",Females,"",Cerebrovascular Disease,409,"",16.1708975243502,"",15.073201872394913
1771,2022,S08000015,"",under75 years,"",Males,"",Cerebrovascular Disease,42,"",26.1809477503086,"",22.21294445934259
1772,2022,S08000015,"",under75 years,"",Females,"",Cerebrovascular Disease,45,"",26.46794144115,"",21.254406041078855
1773,2022,S08000016,"",under75 years,"",Males,"",Cerebrovascular Disease,12,"",23.6686390532544,"",17.992354032442055
1774,2022,S08000016,"",under75 years,"",Females,"",Cerebrovascular Disease,6,"",11.5200737284719,"",8.214521833863374
1775,2022,S08000017,"",under75 years,"",Males,"",Cerebrovascular Disease,11,"",17.1105027376804,"",12.636296491788714
1776,2022,S08000017,"",under75 years,"",Females,"",Cerebrovascular Disease,9,"",13.567907376419,"",9.419244596861684
1777,2022,S08000019,"",under75 years,"",Males,"",Cerebrovascular Disease,24,"",17.4446495806015,"",17.0169516148758
1778,2022,S08000019,"",under75 years,"",Females,"",Cerebrovascular Disease,41,"",29.0185364748848,"",26.976302605738017
1779,2022,S08000020,"",under75 years,"",Males,"",Cerebrovascular Disease,47,"",17.3762588544979,"",17.27881845719449
1780,2022,S08000020,"",under75 years,"",Females,"",Cerebrovascular Disease,33,"",12.3713195324391,"",11.832693038106862
1781,2022,S08000022,"",under75 years,"",Males,"",Cerebrovascular Disease,19,"",13.1335195067327,"",11.274291044053864
1782,2022,S08000022,"",under75 years,"",Females,"",Cerebrovascular Disease,23,"",15.8916603330339,"",12.083784509225447
1783,2022,S08000024,"",under75 years,"",Males,"",Cerebrovascular Disease,70,"",16.7483748094872,"",18.929178608823857
1784,2022,S08000024,"",under75 years,"",Females,"",Cerebrovascular Disease,42,"",9.77385168878195,"",10.635371291971996
1785,2022,S08000025,"",under75 years,"",Males,"",Cerebrovascular Disease,,c,,c,15.841870895062383
1786,2022,S08000025,"",under75 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
1787,2022,S08000026,"",under75 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
1788,2022,S08000026,"",under75 years,"",Females,"",Cerebrovascular Disease,,c,,c,17.45387427962345
1789,2022,S08000028,"",under75 years,"",Males,"",Cerebrovascular Disease,,c,,c,24.193213047702212
1790,2022,S08000028,"",under75 years,"",Females,"",Cerebrovascular Disease,,c,,c,13.167729608626509
1791,2022,S08000029,"",under75 years,"",Males,"",Cerebrovascular Disease,37,"",22.1686977987082,"",20.566021380525115
1792,2022,S08000029,"",under75 years,"",Females,"",Cerebrovascular Disease,33,"",19.1367582331553,"",16.59008895968789
1793,2022,S08000030,"",under75 years,"",Males,"",Cerebrovascular Disease,36,"",19.4128685748797,"",17.812462031182413
1794,2022,S08000030,"",under75 years,"",Females,"",Cerebrovascular Disease,38,"",20.0372270586933,"",18.129554594131893
1795,2022,S08000031,"",under75 years,"",Males,"",Cerebrovascular Disease,119,"",21.9620812670829,"",24.801734180042494
1796,2022,S08000031,"",under75 years,"",Females,"",Cerebrovascular Disease,81,"",14.6219943678244,"",15.211635280606078
1797,2022,S08000032,"",under75 years,"",Males,"",Cerebrovascular Disease,71,"",23.696682464455,"",23.453692692919457
1798,2022,S08000032,"",under75 years,"",Females,"",Cerebrovascular Disease,53,"",17.0585849742834,"",16.012756713656497
1799,2022,S92000003,d,under75 years,"",Males,"",Cerebrovascular Disease,494,"",19.9807311329722,"",19.661740805022145
1800,2022,S92000003,d,under75 years,"",Females,"",Cerebrovascular Disease,408,"",16.1313598775914,"",15.058424718725243
1801,2013,S08000015,"",0-44 years,"",All,d,Cerebrovascular Disease,2,"",1.06566636117564,"",1.214235349969345
1802,2013,S08000015,"",45-64 years,"",All,d,Cerebrovascular Disease,20,"",18.4983074048725,"",18.529950524325127
1803,2013,S08000015,"",65-74 years,"",All,d,Cerebrovascular Disease,49,"",113.903159069248,"",115.55544146115228
1804,2013,S08000015,"",75plus years,"",All,d,Cerebrovascular Disease,292,"",873.54533760134,"",933.2981023071349
1805,2013,S08000015,"",under75 years,"",All,d,Cerebrovascular Disease,71,"",20.9555123327617,"",19.449939924561093
1806,2013,S08000015,"",All,d,All,d,Cerebrovascular Disease,363,"",97.5177304964539,"",101.69627453899272
1807,2013,S08000016,"",0-44 years,"",All,d,Cerebrovascular Disease,2,"",3.74665143028418,"",4.083100703304268
1808,2013,S08000016,"",45-64 years,"",All,d,Cerebrovascular Disease,6,"",17.2483182889668,"",16.908752951773923
1809,2013,S08000016,"",65-74 years,"",All,d,Cerebrovascular Disease,12,"",83.1370375502286,"",86.3056976028405
1810,2013,S08000016,"",75plus years,"",All,d,Cerebrovascular Disease,78,"",691.550669385584,"",769.7627206310631
1811,2013,S08000016,"",under75 years,"",All,d,Cerebrovascular Disease,20,"",19.4929873977836,"",17.305266110222686
1812,2013,S08000016,"",All,d,All,d,Cerebrovascular Disease,98,"",86.0554970144011,"",85.02643701709832
1813,2013,S08000017,"",0-44 years,"",All,d,Cerebrovascular Disease,1,"",1.42726649920073,"",1.2806720967163567
1814,2013,S08000017,"",45-64 years,"",All,d,Cerebrovascular Disease,9,"",19.9247288023024,"",19.401257771538447
1815,2013,S08000017,"",65-74 years,"",All,d,Cerebrovascular Disease,21,"",108.258583359109,"",112.85869001571054
1816,2013,S08000017,"",75plus years,"",All,d,Cerebrovascular Disease,122,"",779.652351738241,"",797.9455122470009
1817,2013,S08000017,"",under75 years,"",All,d,Cerebrovascular Disease,31,"",23.025729395686,"",19.431932630037505
1818,2013,S08000017,"",All,d,All,d,Cerebrovascular Disease,153,"",101.809954751131,"",89.49815479556422
1819,2013,S08000019,"",0-44 years,"",All,d,Cerebrovascular Disease,2,"",1.22597096900745,"",1.1467932206026126
1820,2013,S08000019,"",45-64 years,"",All,d,Cerebrovascular Disease,24,"",28.6601385240029,"",30.377174873663527
1821,2013,S08000019,"",65-74 years,"",All,d,Cerebrovascular Disease,27,"",90.0540324194517,"",95.05453932777289
1822,2013,S08000019,"",75plus years,"",All,d,Cerebrovascular Disease,212,"",929.335437489041,"",979.2942086797968
1823,2013,S08000019,"",under75 years,"",All,d,Cerebrovascular Disease,53,"",19.1433875849714,"",20.494446494574067
1824,2013,S08000019,"",All,d,All,d,Cerebrovascular Disease,265,"",88.4306070010345,"",106.78642509124413
1825,2013,S08000020,"",0-44 years,"",All,d,Cerebrovascular Disease,3,"",0.918276456309937,"",0.9755199787824896
1826,2013,S08000020,"",45-64 years,"",All,d,Cerebrovascular Disease,22,"",14.1097998973833,"",14.464509979594448
1827,2013,S08000020,"",65-74 years,"",All,d,Cerebrovascular Disease,60,"",112.568244498227,"",118.00150304965554
1828,2013,S08000020,"",75plus years,"",All,d,Cerebrovascular Disease,379,"",875.693160813309,"",892.9392245959223
1829,2013,S08000020,"",under75 years,"",All,d,Cerebrovascular Disease,85,"",15.8605762054038,"",18.40663049818561
1830,2013,S08000020,"",All,d,All,d,Cerebrovascular Disease,464,"",80.1104972375691,"",97.1145639669819
1831,2013,S08000022,"",0-44 years,"",All,d,Cerebrovascular Disease,4,"",2.53377843374486,"",2.5617162627185075
1832,2013,S08000022,"",45-64 years,"",All,d,Cerebrovascular Disease,22,"",22.932910811825,"",22.56616371129663
1833,2013,S08000022,"",65-74 years,"",All,d,Cerebrovascular Disease,40,"",105.166294202708,"",108.917950368151
1834,2013,S08000022,"",75plus years,"",All,d,Cerebrovascular Disease,250,"",857.75063473547,"",896.8299286310297
1835,2013,S08000022,"",under75 years,"",All,d,Cerebrovascular Disease,66,"",22.6155965377578,"",20.659060389030177
1836,2013,S08000022,"",All,d,All,d,Cerebrovascular Disease,316,"",98.4485014642657,"",99.51443853081012
1837,2013,S08000024,"",0-44 years,"",All,d,Cerebrovascular Disease,8,"",1.59951374782066,"",1.6922574456752726
1838,2013,S08000024,"",45-64 years,"",All,d,Cerebrovascular Disease,42,"",19.3658156466569,"",20.235145349579625
1839,2013,S08000024,"",65-74 years,"",All,d,Cerebrovascular Disease,64,"",88.6954834596782,"",90.68417138066226
1840,2013,S08000024,"",75plus years,"",All,d,Cerebrovascular Disease,448,"",740.079955066574,"",756.5731159226821
1841,2013,S08000024,"",under75 years,"",All,d,Cerebrovascular Disease,114,"",14.4452638541485,"",17.360407179420644
1842,2013,S08000024,"",All,d,All,d,Cerebrovascular Disease,562,"",66.139434166549,"",83.88955096631418
1843,2013,S08000025,"",0-44 years,"",All,d,Cerebrovascular Disease,,c,,c,11.334309827718489
1844,2013,S08000025,"",45-64 years,"",All,d,Cerebrovascular Disease,,c,,c,14.974543276430069
1845,2013,S08000025,"",65-74 years,"",All,d,Cerebrovascular Disease,,c,,c,78.65660744706743
1846,2013,S08000025,"",75plus years,"",All,d,Cerebrovascular Disease,,c,,c,967.97958724147
1847,2013,S08000025,"",under75 years,"",All,d,Cerebrovascular Disease,,c,,c,20.16233522765278
1848,2013,S08000025,"",All,d,All,d,Cerebrovascular Disease,22,"",102.040816326531,"",105.46588790889632
1849,2013,S08000026,"",0-44 years,"",All,d,Cerebrovascular Disease,,c,,c,8.533879501621437
1850,2013,S08000026,"",45-64 years,"",All,d,Cerebrovascular Disease,,c,,c,15.216068167985393
1851,2013,S08000026,"",65-74 years,"",All,d,Cerebrovascular Disease,,c,,c,88.07907313395268
1852,2013,S08000026,"",75plus years,"",All,d,Cerebrovascular Disease,,c,,c,1109.919513910638
1853,2013,S08000026,"",under75 years,"",All,d,Cerebrovascular Disease,,c,,c,19.658083158743665
1854,2013,S08000026,"",All,d,All,d,Cerebrovascular Disease,19,"",81.8965517241379,"",117.78161192641416
1855,2013,S08000028,"",0-44 years,"",All,d,Cerebrovascular Disease,0,"",0,"",0
1856,2013,S08000028,"",45-64 years,"",All,d,Cerebrovascular Disease,0,"",0,"",0
1857,2013,S08000028,"",65-74 years,"",All,d,Cerebrovascular Disease,,c,,c,125.88242084334256
1858,2013,S08000028,"",75plus years,"",All,d,Cerebrovascular Disease,,c,,c,642.0308621311458
1859,2013,S08000028,"",under75 years,"",All,d,Cerebrovascular Disease,,c,,c,14.524894712693374
1860,2013,S08000028,"",All,d,All,d,Cerebrovascular Disease,21,"",76.6423357664234,"",71.00043178035409
1861,2013,S08000029,"",0-44 years,"",All,d,Cerebrovascular Disease,1,"",0.511265740593989,"",0.5157540766675802
1862,2013,S08000029,"",45-64 years,"",All,d,Cerebrovascular Disease,14,"",13.6865773780428,"",13.942084206005726
1863,2013,S08000029,"",65-74 years,"",All,d,Cerebrovascular Disease,39,"",99.9641154457374,"",104.00708779663152
1864,2013,S08000029,"",75plus years,"",All,d,Cerebrovascular Disease,262,"",873.24600873246,"",931.0202098086448
1865,2013,S08000029,"",under75 years,"",All,d,Cerebrovascular Disease,54,"",16.0286378329282,"",16.366927180921227
1866,2013,S08000029,"",All,d,All,d,Cerebrovascular Disease,316,"",86.1270100844917,"",98.68572261741632
1867,2013,S08000030,"",0-44 years,"",All,d,Cerebrovascular Disease,1,"",0.459890638006282,"",0.6211290351204103
1868,2013,S08000030,"",45-64 years,"",All,d,Cerebrovascular Disease,14,"",12.4372584728823,"",12.46168902992497
1869,2013,S08000030,"",65-74 years,"",All,d,Cerebrovascular Disease,43,"",97.9052823315118,"",101.50189485809186
1870,2013,S08000030,"",75plus years,"",All,d,Cerebrovascular Disease,313,"",818.685917555974,"",836.9011645644107
1871,2013,S08000030,"",under75 years,"",All,d,Cerebrovascular Disease,58,"",15.5110074666781,"",15.70929256263163
1872,2013,S08000030,"",All,d,All,d,Cerebrovascular Disease,371,"",90.0135869565217,"",89.61656104279173
1873,2013,S08000031,"",0-44 years,"",All,d,Cerebrovascular Disease,9,"",1.38401493505894,"",1.352562795518428
1874,2013,S08000031,"",45-64 years,"",All,d,Cerebrovascular Disease,84,"",27.7065872411166,"",29.14834080775186
1875,2013,S08000031,"",65-74 years,"",All,d,Cerebrovascular Disease,145,"",147.456627412696,"",156.74168136725615
1876,2013,S08000031,"",75plus years,"",All,d,Cerebrovascular Disease,749,"",869.645987901587,"",893.1379331857718
1877,2013,S08000031,"",under75 years,"",All,d,Cerebrovascular Disease,238,"",22.6280266174048,"",27.376451392523176
1878,2013,S08000031,"",All,d,All,d,Cerebrovascular Disease,987,"",86.7372047244095,"",105.29498475391554
1879,2013,S08000032,"",0-44 years,"",All,d,Cerebrovascular Disease,8,"",2.23073619871398,"",2.3222522067776112
1880,2013,S08000032,"",45-64 years,"",All,d,Cerebrovascular Disease,42,"",22.8155471657115,"",23.51780263404464
1881,2013,S08000032,"",65-74 years,"",All,d,Cerebrovascular Disease,74,"",118.877411685328,"",124.83500969518356
1882,2013,S08000032,"",75plus years,"",All,d,Cerebrovascular Disease,371,"",778.920848204913,"",839.5256790351339
1883,2013,S08000032,"",under75 years,"",All,d,Cerebrovascular Disease,124,"",20.4972229568897,"",22.6306702282154
1884,2013,S08000032,"",All,d,All,d,Cerebrovascular Disease,495,"",75.8516066749414,"",96.15122102083804
1885,2013,S92000003,d,0-44 years,"",All,d,Cerebrovascular Disease,43,"",1.47420922388713,"",1.5429340509973135
1886,2013,S92000003,d,45-64 years,"",All,d,Cerebrovascular Disease,301,"",20.5603339927212,"",21.04505294867644
1887,2013,S92000003,d,65-74 years,"",All,d,Cerebrovascular Disease,582,"",111.429785832717,"",116.35264651507256
1888,2013,S92000003,d,75plus years,"",All,d,Cerebrovascular Disease,3526,"",830.436461954422,"",866.8647629101108
1889,2013,S92000003,d,under75 years,"",All,d,Cerebrovascular Disease,926,"",18.8859954836773,"",20.469397036286185
1890,2013,S92000003,d,All,d,All,d,Cerebrovascular Disease,4452,"",83.5632636972802,"",96.6449799649304
1891,2014,S08000015,"",0-44 years,"",All,d,Cerebrovascular Disease,3,"",1.62194601082379,"",1.7680016236381773
1892,2014,S08000015,"",45-64 years,"",All,d,Cerebrovascular Disease,20,"",18.5022433970119,"",18.42424368405199
1893,2014,S08000015,"",65-74 years,"",All,d,Cerebrovascular Disease,46,"",104.41493587561,"",108.29366145174616
1894,2014,S08000015,"",75plus years,"",All,d,Cerebrovascular Disease,264,"",775.854468510301,"",808.2567298357696
1895,2014,S08000015,"",under75 years,"",All,d,Cerebrovascular Disease,69,"",20.4679143195308,"",18.909868027990928
1896,2014,S08000015,"",All,d,All,d,Cerebrovascular Disease,333,"",89.7235544538449,"",89.95108559069102
1897,2014,S08000016,"",0-44 years,"",All,d,Cerebrovascular Disease,1,"",1.89530343808044,"",2.4412359628932134
1898,2014,S08000016,"",45-64 years,"",All,d,Cerebrovascular Disease,6,"",17.1683644271489,"",17.304087030658724
1899,2014,S08000016,"",65-74 years,"",All,d,Cerebrovascular Disease,9,"",60.967348597751,"",60.62176406663963
1900,2014,S08000016,"",75plus years,"",All,d,Cerebrovascular Disease,94,"",812.586445366528,"",798.117996775181
1901,2014,S08000016,"",under75 years,"",All,d,Cerebrovascular Disease,16,"",15.6140213912093,"",13.482566714378086
1902,2014,S08000016,"",All,d,All,d,Cerebrovascular Disease,110,"",96.4573833742546,"",84.09975541985034
1903,2014,S08000017,"",0-44 years,"",All,d,Cerebrovascular Disease,1,"",1.44900236187385,"",1.4654039071855034
1904,2014,S08000017,"",45-64 years,"",All,d,Cerebrovascular Disease,10,"",22.1425091891413,"",21.96838054021452
1905,2014,S08000017,"",65-74 years,"",All,d,Cerebrovascular Disease,14,"",70.4012873378256,"",72.71805392311595
1906,2014,S08000017,"",75plus years,"",All,d,Cerebrovascular Disease,134,"",842.820303163721,"",926.3164819026156
1907,2014,S08000017,"",under75 years,"",All,d,Cerebrovascular Disease,25,"",18.6482272995129,"",15.657510565894722
1908,2014,S08000017,"",All,d,All,d,Cerebrovascular Disease,159,"",106.028274206455,"",97.6168179861996
1909,2014,S08000019,"",0-44 years,"",All,d,Cerebrovascular Disease,0,"",0,"",0
1910,2014,S08000019,"",45-64 years,"",All,d,Cerebrovascular Disease,12,"",14.1874157622189,"",14.266605396212183
1911,2014,S08000019,"",65-74 years,"",All,d,Cerebrovascular Disease,25,"",81.4889663939503,"",82.87540860131391
1912,2014,S08000019,"",75plus years,"",All,d,Cerebrovascular Disease,199,"",847.277217183974,"",926.71981347922
1913,2014,S08000019,"",under75 years,"",All,d,Cerebrovascular Disease,37,"",13.3615973247915,"",13.717108058389218
1914,2014,S08000019,"",All,d,All,d,Cerebrovascular Disease,236,"",78.5619174434088,"",95.887351546264
1915,2014,S08000020,"",0-44 years,"",All,d,Cerebrovascular Disease,7,"",2.1301393415435,"",2.273526057762298
1916,2014,S08000020,"",45-64 years,"",All,d,Cerebrovascular Disease,20,"",12.7760423653565,"",13.10686265682691
1917,2014,S08000020,"",65-74 years,"",All,d,Cerebrovascular Disease,49,"",89.0245453389292,"",92.10625658161332
1918,2014,S08000020,"",75plus years,"",All,d,Cerebrovascular Disease,364,"",826.915650060201,"",837.1347454333488
1919,2014,S08000020,"",under75 years,"",All,d,Cerebrovascular Disease,76,"",14.0688373401752,"",15.79360397397821
1920,2014,S08000020,"",All,d,All,d,Cerebrovascular Disease,440,"",75.3140940056828,"",89.71430670532158
1921,2014,S08000022,"",0-44 years,"",All,d,Cerebrovascular Disease,3,"",1.92516251580238,"",2.217530446260846
1922,2014,S08000022,"",45-64 years,"",All,d,Cerebrovascular Disease,18,"",18.7993482892593,"",18.740821019260427
1923,2014,S08000022,"",65-74 years,"",All,d,Cerebrovascular Disease,31,"",79.0856676361039,"",82.39504879299966
1924,2014,S08000022,"",75plus years,"",All,d,Cerebrovascular Disease,255,"",851.333756218075,"",863.8792792711442
1925,2014,S08000022,"",under75 years,"",All,d,Cerebrovascular Disease,52,"",17.8831200541996,"",16.280510037747067
1926,2014,S08000022,"",All,d,All,d,Cerebrovascular Disease,307,"",95.7191407102547,"",92.56439926875282
1927,2014,S08000024,"",0-44 years,"",All,d,Cerebrovascular Disease,5,"",0.993998238635121,"",0.9893951496811744
1928,2014,S08000024,"",45-64 years,"",All,d,Cerebrovascular Disease,40,"",18.2594207198777,"",18.8364345703557
1929,2014,S08000024,"",65-74 years,"",All,d,Cerebrovascular Disease,63,"",84.7241087158246,"",90.64629588486156
1930,2014,S08000024,"",75plus years,"",All,d,Cerebrovascular Disease,479,"",776.626619323249,"",780.0490890327635
1931,2014,S08000024,"",under75 years,"",All,d,Cerebrovascular Disease,108,"",13.5602924503072,"",16.531636933936877
1932,2014,S08000024,"",All,d,All,d,Cerebrovascular Disease,587,"",68.4053512329278,"",85.24820762283127
1933,2014,S08000025,"",0-44 years,"",All,d,Cerebrovascular Disease,0,"",0,"",0
1934,2014,S08000025,"",45-64 years,"",All,d,Cerebrovascular Disease,,c,,c,30.415064598115706
1935,2014,S08000025,"",65-74 years,"",All,d,Cerebrovascular Disease,,c,,c,72.9235032450959
1936,2014,S08000025,"",75plus years,"",All,d,Cerebrovascular Disease,,c,,c,476.061101102817
1937,2014,S08000025,"",under75 years,"",All,d,Cerebrovascular Disease,,c,,c,17.271384570588715
1938,2014,S08000025,"",All,d,All,d,Cerebrovascular Disease,12,"",55.6070435588508,"",58.562459058489246
1939,2014,S08000026,"",0-44 years,"",All,d,Cerebrovascular Disease,0,"",0,"",0
1940,2014,S08000026,"",45-64 years,"",All,d,Cerebrovascular Disease,,c,,c,61.27426789270582
1941,2014,S08000026,"",65-74 years,"",All,d,Cerebrovascular Disease,,c,,c,80.48527086572405
1942,2014,S08000026,"",75plus years,"",All,d,Cerebrovascular Disease,,c,,c,701.1313502148844
1943,2014,S08000026,"",under75 years,"",All,d,Cerebrovascular Disease,,c,,c,27.13036750820666
1944,2014,S08000026,"",All,d,All,d,Cerebrovascular Disease,19,"",81.8260120585702,"",87.79045595180767
1945,2014,S08000028,"",0-44 years,"",All,d,Cerebrovascular Disease,0,"",0,"",0
1946,2014,S08000028,"",45-64 years,"",All,d,Cerebrovascular Disease,0,"",0,"",0
1947,2014,S08000028,"",65-74 years,"",All,d,Cerebrovascular Disease,,c,,c,25.828871982718137
1948,2014,S08000028,"",75plus years,"",All,d,Cerebrovascular Disease,,c,,c,815.6619777629408
1949,2014,S08000028,"",under75 years,"",All,d,Cerebrovascular Disease,,c,,c,2.9802544595444007
1950,2014,S08000028,"",All,d,All,d,Cerebrovascular Disease,26,"",95.4128440366972,"",76.12160955685007
1951,2014,S08000029,"",0-44 years,"",All,d,Cerebrovascular Disease,2,"",1.03409408187957,"",1.0998122192335358
1952,2014,S08000029,"",45-64 years,"",All,d,Cerebrovascular Disease,19,"",18.4884252727043,"",18.77672607237374
1953,2014,S08000029,"",65-74 years,"",All,d,Cerebrovascular Disease,24,"",59.600675474322,"",62.598317963386734
1954,2014,S08000029,"",75plus years,"",All,d,Cerebrovascular Disease,203,"",658.898373851796,"",671.3426920137772
1955,2014,S08000029,"",under75 years,"",All,d,Cerebrovascular Disease,45,"",13.3753020589048,"",13.343466366726108
1956,2014,S08000029,"",All,d,All,d,Cerebrovascular Disease,248,"",67.5289312457454,"",72.5633966749607
1957,2014,S08000030,"",0-44 years,"",All,d,Cerebrovascular Disease,0,"",0,"",0
1958,2014,S08000030,"",45-64 years,"",All,d,Cerebrovascular Disease,23,"",20.3534419440192,"",20.43103307188257
1959,2014,S08000030,"",65-74 years,"",All,d,Cerebrovascular Disease,29,"",64.5520311630495,"",63.72234447893549
1960,2014,S08000030,"",75plus years,"",All,d,Cerebrovascular Disease,277,"",709.746848416522,"",706.7412611294371
1961,2014,S08000030,"",under75 years,"",All,d,Cerebrovascular Disease,52,"",13.875102729126,"",13.3022746531177
1962,2014,S08000030,"",All,d,All,d,Cerebrovascular Disease,329,"",79.5070082165297,"",75.71178343598646
1963,2014,S08000031,"",0-44 years,"",All,d,Cerebrovascular Disease,7,"",1.07717828531683,"",1.2316950772498991
1964,2014,S08000031,"",45-64 years,"",All,d,Cerebrovascular Disease,66,"",21.5895114228142,"",22.99134944196689
1965,2014,S08000031,"",65-74 years,"",All,d,Cerebrovascular Disease,126,"",126.374067239028,"",131.59268882905246
1966,2014,S08000031,"",75plus years,"",All,d,Cerebrovascular Disease,624,"",714.482000549602,"",732.6685324649643
1967,2014,S08000031,"",under75 years,"",All,d,Cerebrovascular Disease,199,"",18.8580190172224,"",22.60995084712822
1968,2014,S08000031,"",All,d,All,d,Cerebrovascular Disease,823,"",72.0293368574904,"",86.51522319273347
1969,2014,S08000032,"",0-44 years,"",All,d,Cerebrovascular Disease,4,"",1.12667804611493,"",1.1777934905407013
1970,2014,S08000032,"",45-64 years,"",All,d,Cerebrovascular Disease,36,"",19.3645209701625,"",20.00353687951611
1971,2014,S08000032,"",65-74 years,"",All,d,Cerebrovascular Disease,77,"",121.029219911664,"",129.05187573147768
1972,2014,S08000032,"",75plus years,"",All,d,Cerebrovascular Disease,378,"",775.448241907028,"",848.0343467501747
1973,2014,S08000032,"",under75 years,"",All,d,Cerebrovascular Disease,117,"",19.3531098958902,"",21.414717263482313
1974,2014,S08000032,"",All,d,All,d,Cerebrovascular Disease,495,"",75.7691718965253,"",95.8104839172846
1975,2014,S92000003,d,0-44 years,"",All,d,Cerebrovascular Disease,33,"",1.13543542572291,"",1.2210597304262616
1976,2014,S92000003,d,45-64 years,"",All,d,Cerebrovascular Disease,276,"",18.7401206972411,"",19.129806687949184
1977,2014,S92000003,d,65-74 years,"",All,d,Cerebrovascular Disease,498,"",93.047241093249,"",96.97086406634445
1978,2014,S92000003,d,75plus years,"",All,d,Cerebrovascular Disease,3317,"",765.629977056491,"",789.5632722900928
1979,2014,S92000003,d,under75 years,"",All,d,Cerebrovascular Disease,807,"",16.4212567165382,"",17.484298630442723
1980,2014,S92000003,d,All,d,All,d,Cerebrovascular Disease,4124,"",77.1187074575511,"",86.97140625981123
1981,2015,S08000015,"",0-44 years,"",All,d,Cerebrovascular Disease,4,"",2.18599542033959,"",2.472764668264234
1982,2015,S08000015,"",45-64 years,"",All,d,Cerebrovascular Disease,20,"",18.4331797235023,"",18.240002689329945
1983,2015,S08000015,"",65-74 years,"",All,d,Cerebrovascular Disease,52,"",116.463974557101,"",118.829584296245
1984,2015,S08000015,"",75plus years,"",All,d,Cerebrovascular Disease,286,"",829.995937082825,"",863.2270500243446
1985,2015,S08000015,"",under75 years,"",All,d,Cerebrovascular Disease,76,"",22.6101650542049,"",20.4901098732317
1986,2015,S08000015,"",All,d,All,d,Cerebrovascular Disease,362,"",97.6820745298038,"",96.33643448683188
1987,2015,S08000016,"",0-44 years,"",All,d,Cerebrovascular Disease,0,"",0,"",0
1988,2015,S08000016,"",45-64 years,"",All,d,Cerebrovascular Disease,8,"",22.8245363766049,"",22.937765470370717
1989,2015,S08000016,"",65-74 years,"",All,d,Cerebrovascular Disease,13,"",86.1440593731363,"",88.92654128991235
1990,2015,S08000016,"",75plus years,"",All,d,Cerebrovascular Disease,83,"",712.018529638844,"",768.3138436893232
1991,2015,S08000016,"",under75 years,"",All,d,Cerebrovascular Disease,21,"",20.5132212595118,"",16.94043371987806
1992,2015,S08000016,"",All,d,All,d,Cerebrovascular Disease,104,"",91.2040691046216,"",84.56404061712811
1993,2015,S08000017,"",0-44 years,"",All,d,Cerebrovascular Disease,1,"",1.46651219404889,"",1.4340618367464006
1994,2015,S08000017,"",45-64 years,"",All,d,Cerebrovascular Disease,3,"",6.64599025254763,"",6.91403382281762
1995,2015,S08000017,"",65-74 years,"",All,d,Cerebrovascular Disease,13,"",64.2927794263106,"",65.95608484384475
1996,2015,S08000017,"",75plus years,"",All,d,Cerebrovascular Disease,116,"",719.558340053347,"",743.2174019376821
1997,2015,S08000017,"",under75 years,"",All,d,Cerebrovascular Disease,17,"",12.7294101790354,"",10.474726663179588
1998,2015,S08000017,"",All,d,All,d,Cerebrovascular Disease,133,"",88.8621634262043,"",76.42156743788482
1999,2015,S08000019,"",0-44 years,"",All,d,Cerebrovascular Disease,1,"",0.618325944338299,"",0.7244244726189839
2000,2015,S08000019,"",45-64 years,"",All,d,Cerebrovascular Disease,16,"",18.7005458221812,"",19.386663317378847
